채널,상품명,옵션명,평점,작성일,작성자,리뷰내용,답글
네이버,스틸 와이어 몰딩 1호,1m/화이트,2,2026-05-28,kim**,"사이즈가 표기랑 안맞아서 설치를 못했어요. 상세페이지에 치수 확인이 필요해요",
쿠팡,전선 정리 몰딩 케이블,2m/블랙,1,2026-05-27,park**,"박스가 터져서 왔고 제품도 찌그러져 있었습니다. 교환 가능한가요?",
11번가,타공 와이어 선반,대형,3,2026-05-27,lee**,"색이 사진과 달라요. 화면이랑 톤이 좀 다른 느낌이라 아쉽네요",
자사몰,메탈 케이블 트레이,600mm,2,2026-05-26,choi**,"구성품 중에 브라켓이 누락되어 왔어요. 다시 보내주실 수 있나요?",
네이버,스틸 와이어 몰딩 1호,2m/화이트,4,2026-05-26,jung**,"설치가 어렵네요. 고정이 안 돼서 한참 걸렸어요. 설치 방법 안내가 있으면 좋겠어요","네 고객님, 설치 가이드 보내드리겠습니다."
쿠팡,전선 정리 몰딩 케이블,5m/화이트,5,2026-05-25,han**,"튼튼하고 마감도 깔끔해서 만족합니다. 재구매했어요",
자사몰,메탈 케이블 트레이,300mm,5,2026-05-25,seo**,"딱 맞아서 좋아요. 잘 쓰고 있습니다",
11번가,타공 와이어 선반,소형,3,2026-05-24,oh**,"옵션이 헷갈려요. 소형이랑 중형 차이가 뭔지 상세페이지에 설명이 부족해요",
네이버,스틸 와이어 몰딩 1호,1m/블랙,4,2026-05-24,yoo**,"다른 데가 싸던데 여기는 가격 차이가 좀 나네요",
쿠팡,메탈 케이블 트레이,600mm,1,2026-05-23,kang**,"접착력이 약해서 금방 떨어졌어요. 마감도 거칠고 실망입니다",
자사몰,전선 정리 몰딩 케이블,2m/블랙,2,2026-05-23,im**,"재고 있나요? 대량으로 주문하고 싶은데 답변 부탁드려요",
네이버,타공 와이어 선반,대형,5,2026-05-22,bae**,"가성비 최고예요. 튼튼하고 추천합니다",
11번가,스틸 와이어 몰딩 1호,2m/화이트,2,2026-04-10,noh**,"사이즈가 안맞아요. 작아서 반품했습니다","처리 도와드렸습니다."
쿠팡,메탈 케이블 트레이,300mm,3,2026-05-28,jang**,"제품은 괜찮은데 설치 방법을 모르겠어요. 어떻게 설치하나요?",
자사몰,전선 정리 몰딩 케이블,5m/화이트,5,2026-05-27,song**,"튼튼하고 잘 맞아서 만족합니다. 또 구매할게요",
네이버,전선 정리 몰딩 케이블,5m/화이트,5,2026-05-25,dup**,"튼튼하고 마감도 깔끔해서 만족합니다. 재구매했어요",
