rank,brand,product_name,profile,source_url,goods_no,collection_status,collection_priority,expected_review_count,min_target_reviews,max_target_reviews,notes
1,fwee,블러리 푸딩팟,lip_makeup,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000246446,A000000246446,ready_for_full_collection,P0,36267,1000,full,"interview 상 · score 96 · risk: 단품/기획 옵션 혼재 · verified_by_user_current_oy_page"
2,Anua,어성초 포어 컨트롤 클렌징오일,cleansing,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000205555,A000000205555,ready_for_full_collection,P0,16188,1000,full,"interview 상 · score 94 · risk: 더블기획 합산 여부 · verified_by_user_current_oy_page"
3,Skin1004,마다가스카르 센텔라 히알루-시카 워터핏 선 세럼,sunscreen,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000215559,A000000215559,ready_for_full_collection,P0,7474,1000,full,"interview 상 · score 93 · verified_by_user_current_oy_page · old_goodsNo=A000000171261 → new=A000000215559"
4,TIRTIR,마스크 핏 레드 쿠션,base_makeup,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000214231,A000000214231,ready_for_full_collection,P0,1243,500,full,"interview 상 · score 92 · risk: 단품과 기획 분리 필요 · verified_by_user_current_oy_page"
5,Needly,데일리 토너 패드,skincare_pad,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000225053,A000000225053,ready_for_full_collection,P0,6912,1000,full,"interview 상 · score 90 · risk: 기획/본품 옵션 혼재 · verified_by_user_current_oy_page"
6,hince,로 글로우 젤 틴트,lip_makeup,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000202912,A000000202912,ready_for_full_collection,P0,29667,1000,full,"interview 상 · score 89 · risk: 컬러 옵션 방대함 · verified_by_user_current_oy_page"
7,beplain,녹두 약산성 클렌징폼,cleansing,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000249797,A000000249797,ready_for_full_collection,P0,23108,1000,full,"interview 상 · score 88 · risk: 더블기획 등 옵션 다양 · verified_by_user_current_oy_page"
8,Anua,어성초 실키 모이스처 선크림,sunscreen,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000207901,A000000207901,ready_for_full_collection,P0,3717,1000,full,"interview 상 · score 87 · verified_by_user_current_oy_page · 이전 url_check_required 해제"
9,Espoir,프로 테일러 비벨벳 커버 쿠션,base_makeup,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000179852,A000000179852,ready_for_full_collection,P2,791,300,full,"interview 하 · score 85 · 아모레퍼시픽(Benchmark) · verified_by_user_current_oy_page · old_goodsNo=TODO → new=A000000179852 · 주의: expected 791 < 통상 min_target 1000 — 전체 모수가 작은 SKU"
10,Abib,어성초 스팟 패드 카밍 터치,skincare_pad,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000225736,A000000225736,ready_for_full_collection,P1,26850,1000,full,"interview 중 · score 84 · verified_by_user_current_oy_page · old_goodsNo=137798(Glowpick ID) → new=A000000225736"
11,Muzigae Mansion,오브제 워터 틴트,lip_makeup,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000185439,A000000185439,ready_for_full_collection,P1,3100,1000,full,"interview 중 · score 83 · verified_by_user_current_oy_page"
12,Mediheal,마데카소사이드 흔적 패드,skincare_pad,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000244987,A000000244987,ready_for_full_collection,P1,6548,1000,full,"interview 중 · score 82 · risk: 기획/단품 혼합 가능성 · verified_by_user_current_oy_page · old_goodsNo=A000000205643 → new=A000000244987"
13,Round Lab,자작나무 수분 선크림,sunscreen,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000149135,A000000149135,ready_for_full_collection,P1,18651,1000,full,"interview 중 · score 81 · risk: 다채로운 기획세트 존재 · verified_by_user_current_oy_page"
14,Clio,킬커버 메쉬 글로우 쿠션,base_makeup,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000219278,A000000219278,ready_for_full_collection,P2,13317,1000,full,"interview 하 · score 80 · 대기업(Benchmark) · verified_by_user_current_oy_page · old_goodsNo=A000000174825 → new=A000000219278"
15,Manyo,퓨어 클렌징 오일,cleansing,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000107679,A000000107679,ready_for_full_collection,P2,10761,1000,full,"interview 하 · score 79 · 대기업(Benchmark) · verified_by_user_current_oy_page · old_goodsNo=A000000207444 → new=A000000107679"
