input_index,goods_no,source_url,public_review_count,actual_oy_title,actual_brand_guess,actual_category_guess,current_seed_rank,current_seed_brand,current_seed_product_name,mapping_status,operator_action,operator_target_seed_rank,operator_notes
1,A000000246446,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000246446,36267,[망곰콜라보] 퓌 립앤치크 블러리 푸딩팟 5g 단품/기획 (+망그러진 곰 푸딩팟주머니),퓌 (fwee),립앤치크 / 푸딩팟,1,fwee,블러리 푸딩팟,actual_title_matches_seed,keep_current_mapping,1,
2,A000000205555,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000205555,16188,아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입,아누아 (Anua),클렌징오일,2,Anua,어성초 포어 컨트롤 클렌징오일,actual_title_matches_seed,keep_current_mapping,2,
3,A000000215559,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000215559,7474,[2입 기획] 스킨1004 마다가스카르 센텔라 히알루-시카 워터핏 선세럼 50ml 더블기획,스킨1004 (Skin1004),선세럼,3,Skin1004,마다가스카르 센텔라 히알루-시카 워터핏 선 세럼,actual_title_matches_seed,keep_current_mapping,3,
4,A000000214231,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000214231,1243,[NEW단독기획] 티르티르 마스크 핏 레드 쿠션 (기획/단품),티르티르 (TIRTIR),쿠션,4,TIRTIR,마스크 핏 레드 쿠션,actual_title_matches_seed,keep_current_mapping,4,
5,A000000225053,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000225053,6912,니들리 데일리 토너 패드 80매 (+20매 증정기획) (OY단독),니들리 (Needly),토너 패드,5,Needly,데일리 토너 패드,actual_title_matches_seed,keep_current_mapping,5,
6,A000000202912,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000202912,29667,[뮤트스위치글로스 증정/신규컬러] 힌스 로 글로우 젤 틴트 24 Colors 한정 기획 (오드스프링에디션),힌스 (hince),젤 틴트,6,hince,로 글로우 젤 틴트,actual_title_matches_seed,keep_current_mapping,6,
7,A000000249797,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000249797,23108,[말끔모공] 비플레인 녹두 약산성 클렌징폼 160ml 더블 기획,비플레인 (beplain),클렌징폼,7,beplain,녹두 약산성 클렌징폼,actual_title_matches_seed,keep_current_mapping,7,
8,A000000207901,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000207901,3717,[오선우pick/리뷰이벤트] 아누아 어성초 실키 모이스처 선크림 50ml 더블 기획,아누아 (Anua),선크림,8,Anua,어성초 실키 모이스처 선크림,actual_title_matches_seed,keep_current_mapping,8,
9,A000000179852,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000179852,791,[생기톤업선크림] 토코보 비타 톤업 선크림 50mL SPF50+ PA++++,토코보 (Tocobo),선크림,9,Espoir,프로 테일러 비벨벳 커버 쿠션,operator_confirmed_seed_replacement,replace_seed_product,9,operator confirmed actual OY product is intended candidate; update seed row to actual OY title
10,A000000225736,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000225736,26850,[800만개판매/1등피지클리너] 일소 슈퍼 멜팅 세범 소프트너 150g 기획 (+착붙솜 40매+모공텐션마스크팩1매),일소 (Ilso),세범 소프트너 / 피지 클리너,10,Abib,어성초 스팟 패드 카밍 터치,operator_confirmed_seed_replacement,replace_seed_product,10,operator confirmed actual OY product is intended candidate; update seed row to actual OY title
