text,rating,author,date,language,source_id
노이즈캔슬링은 정말 좋은데 배터리가 너무 빨리 닳아요. 하루에 두 번은 충전해야 합니다.,4,구매자A,2025-01-10,ko,csv-001
착용감이 별로예요. 오래 끼고 있으면 귀가 아파요. 가격 대비 좀 실망스럽습니다.,2,구매자B,2025-01-15,ko,csv-002
배터리가 3시간밖에 안 가요. 이 가격에 이 정도면 너무 비싸다고 생각합니다.,1,구매자C,2025-01-20,ko,csv-003
음질이 정말 깨끗하고 선명합니다. 통화할 때도 상대방이 잘 들린다고 해요.,4,구매자D,2025-01-25,ko,csv-004
배터리 소모가 너무 심해서 외출할 때 항상 케이스를 들고 다녀야 해요.,2,구매자E,2025-02-01,ko,csv-005
노이즈캔슬링이 진짜 뛰어나요. 음질도 이전 모델보다 훨씬 좋아졌습니다.,5,구매자F,2025-02-10,ko,csv-006
배송이 너무 늦었어요. 주문 후 일주일이나 걸렸습니다. 제품 자체는 괜찮습니다.,3,구매자G,2025-02-15,ko,csv-007
가격이 좀 부담되긴 하지만 음질은 만족스러워요.,3,구매자H,2025-02-20,ko,csv-008
귀가 작은 편인데 이어팁이 안 맞아요. 통화 품질도 기대 이하였습니다.,2,구매자I,2025-02-25,ko,csv-009
배터리가 4시간이면 꺼져요. ANC 켜면 더 빨리 닳습니다.,3,구매자J,2025-03-01,ko,csv-010
포장이 부실해서 제품에 흠집이 있었습니다. 교환 요청했습니다.,1,구매자K,2025-03-05,ko,csv-011
착용감이 좋아서 하루종일 써도 편해요. 가격은 비싸지만 그만한 가치가 있습니다.,4,구매자L,2025-03-10,ko,csv-012
30만원이 넘는 가격에 이 품질은 말이 안 됩니다. 환불하고 싶어요.,1,구매자M,2025-03-15,ko,csv-013
노이즈캔슬링 최고예요! 지하철에서도 음악에 집중할 수 있습니다.,5,구매자N,2025-03-20,ko,csv-014
배터리가 빨리 닳긴 하는데 충전 속도가 빨라서 그럭저럭 쓸 만해요.,3,구매자O,2025-03-25,ko,csv-015
