brand,product_name,source_channel,source_url,category_hint,priority,notes
fwee,블러리 푸딩팟,oliveyoung,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000246446,lip_makeup,1,"rank 1 · score 96 · public_reviews 36,267 · ★4.8 · interview 상 · split: 독특한 블러 제형, 다양한 색상 vs 먼지 붙음, 핑거팁 위생, 각질 부각 · risk: 단품/기획 옵션 혼재 · verified_by_user_current_oy_page"
Anua,어성초 포어 컨트롤 클렌징오일,oliveyoung,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000205555,cleansing,1,"rank 2 · score 94 · public_reviews 16,188 · ★4.8 · interview 상 · split: 블랙헤드 융해, 순한 사용감 vs 세정력 부족, 눈시림, 트러블(좁쌀) 발생 · risk: 더블기획 합산 여부 · verified_by_user_current_oy_page"
Skin1004,마다가스카르 센텔라 히알루-시카 워터핏 선 세럼,oliveyoung,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000215559,sunscreen,1,"rank 3 · score 93 · public_reviews 7,474 · ★4.8 · interview 상 · split: 촉촉함, 진정, 가벼움 vs 톤업 불가, 화장 밀림, 알러지 반응 · verified_by_user_current_oy_page · old_goodsNo=A000000171261 → new=A000000215559"
TIRTIR,마스크 핏 레드 쿠션,oliveyoung,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000214231,base_makeup,1,"rank 4 · score 92 · public_reviews 1,243 · ★4.7 · interview 상 · split: 막강한 커버력, 높은 지속력 vs 두껍게 발림, 건조함, 수정화장 시 뭉침 · risk: 단품과 기획 분리 필요 · verified_by_user_current_oy_page"
Needly,데일리 토너 패드,oliveyoung,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000225053,skincare_pad,1,"rank 5 · score 90 · public_reviews 6,912 · ★4.8 · interview 상 · split: 넉넉한 에센스, 대형 사이즈 vs 두께로 인한 밀착력 저하, 속건조 · risk: 기획/본품 옵션 혼재 · verified_by_user_current_oy_page"
hince,로 글로우 젤 틴트,oliveyoung,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000202912,lip_makeup,1,"rank 6 · score 89 · public_reviews 29,667 · ★4.8 · interview 상 · split: 맑은 광택, 오묘한 색감 vs 끈적임, 지속력 아쉬움, 요플레 현상 · risk: 컬러 옵션 방대함 · verified_by_user_current_oy_page"
beplain,녹두 약산성 클렌징폼,oliveyoung,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000249797,cleansing,1,"rank 7 · score 88 · public_reviews 23,108 · ★4.9 · interview 상 · split: 순한 세안, 피지 정돈 vs 메이크업 세정력 부족, 알갱이 스크럽 자극 · risk: 더블기획 등 옵션 다양 · verified_by_user_current_oy_page"
Anua,어성초 실키 모이스처 선크림,oliveyoung,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000207901,sunscreen,1,"rank 8 · score 87 · public_reviews 3,717 · ★4.7 · interview 상 · split: 실키한 발림성, 화장 잘먹음 vs 알러지 반응, 눈시림, 특유의 향 불만 · verified_by_user_current_oy_page"
Espoir,프로 테일러 비벨벳 커버 쿠션,oliveyoung,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000179852,base_makeup,3,"rank 9 · score 85 · public_reviews 791 · ★4.6 · interview 하 · split: 강력한 커버력, 보송한 마무리 vs 시간 경과 후 요철 부각, 속건조 · risk: 아모레퍼시픽(Benchmark) · verified_by_user_current_oy_page · old_goodsNo=TODO → new=A000000179852"
Abib,어성초 스팟 패드 카밍 터치,oliveyoung,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000225736,skincare_pad,2,"rank 10 · score 84 · public_reviews 26,850 · ★4.08 · interview 중 · split: 빠른 국소 진정, 밀착력 vs 패드 크기 작음, 각질 제거 효과 미미 · verified_by_user_current_oy_page · old_goodsNo=137798(Glowpick) → new=A000000225736"
